LogID,LogEntrySeconds,LogNotes,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Скорость автомобиля ( км/час),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Положение дроссельной заслонки ( %),Положение педали газа ( %),Относительное заполнение воздухом ( %),Желаемое значение коэффициента лямбда (-),Напряжение датчика кислорода 1 ( В),Период сигнала датчика кислорода 1 ( с),Напряжение датчика кислорода 2 ( В),Текущий коэффициент коррекции длительности впрыска топлива (-),Фактор высотной коррекции (-),Адаптированное отклонение расхода воздуха во впускном колекторе мимо дросселя ( кг),Мультипликативная составляющая коррекции смеси самообучением (-),I-часть регулирования по датчику кислорода 2 (-),Фактор старения нейтрализатора (-),Расход топлива ( л/час),Температура впускного воздуха ( °С),Коэффициент продувки адсорбера ( %),Концентрация топлива в адсорбере (-),Величина отскока УОЗ при детонации ( °ПКВ),Желаемые обороты холостого хода ( об/мин),Разница крутящего момента от адаптированного крутящего момента ( %),Нормальная утечка воздуха через дроссель (-),Потребность в моменте для регулирования ХХ: I-часть ( %),Потребность в моменте для регулирования ХХ: PD-часть ( %),Температура охлаждающей жидкости при пуске ( °С),Проверка нейтрализатора завершена (-),Проверка системы улавливания паров бензина завершена (-),Проверка первого датчика кислорода завершена (-),Проверка второго датчика кислорода завершена (-),Контроллер обучен (-),Контроллер заблокирован (-),Запуск с обходом возможен (-),Пароль обхода запрограммирован (-),Ошибка связи с иммобилизатором (-),Быстрый старт разрешен (-),Реле бензонасоса (-),Флаг нажатия педали тормоза 2 (-),Флаг нажатия педали сцепления (-),Запрос на включение кондиционера (-),Реле кондиционера включено (-),Флаг высокого давления в системе кондиционера (-),Реле вентилятора охлаждения 1 (-),Реле вентилятора охлаждения 2 (-),Холостой ход (-),Признак обогащения по мощности  (-),Продувка адсорбера активирована (-),Готовность датчика кислорода 1 (-),Флаг обратной связи по датчику кислорода 1 (-),Готовность датчика кислорода 2 (-),Обратная связь по датчику кислорода 2 (-),Признак разрешения адаптации топливоподачи (-),Отсечка топливоподачи (-),Контроль детонации активен (-),Динамический счетчик не равен нулю (-),Обнаружение пропусков зажигания приостановлено (-),Признак обнаружения неровной дороги (-),Флаг нажатия педали тормоза 1 (-),Регистрация активна (-),Лампа индикации неисправностей (-),Время работы (-),Контрольная сумма ПЗУ (-),АБС присутствует (-),ESP присутствует (-),АКПП присутствует (-),ЦБКЭ присутствует (-),Круиз-контроль присутствует (-),Датчик скорости автомобиля присутствует (-),Окончание обучения электронных устройств (-),Клапан управления длиной каналов системы впуска (-),Доп. реле стартера (-),Цикловое наполнение по датчику абсолютного давления во впускном коллекторе ( мг/ц),Измеренное давление во впускном коллекторе ( мБар),Параметр адаптации демпфера в диапазоне 1  ( °),Параметр адаптации демпфера в диапазоне 2 ( °),Параметр адаптации демпфера в диапазоне 3 ( °),Параметр адаптации демпфера в диапазоне 4 ( °),Счетчик пропусков воспламенения для цилиндра 1. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 3. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 4. влияющих на токсичность (-),Счетчик пропусков воспламенения для цилиндра 2. влияющих на токсичность (-),Суммарный счетчик пропусков воспламенения. влияющих на работу нейтрализатора (-),Запрет распознавания. обороты меньше минимальных (-),Запрет распознавания. обороты больше максимальных (-),Запрет распознавания. изменение нагрузки (-),Запрет распознавания. изменение динамики двигателя (-),Запрет распознавания. нагрузка меньше порога (-),Условия отключения топливоподачи (-),Распознавание пропусков воспламенения приостановлено (-),Обучение в диапазоне 1 завершено (-),Обучение в диапазоне 2 завершено (-),Обучение в диапазоне 3 завершено (-),Обучение в диапазоне 4 завершено (-),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-),Относительный уровень регулировки по детонации в цилиндре 1 (В),Относительный уровень регулировки по детонации в цилиндре 3 (В),Относительный уровень регулировки по детонации в цилиндре 4 (В),Относительный уровень регулировки по детонации в цилиндре 2 (В),Отскок угла опережения зажигания при детонации для цилиндра 1 ( °),Отскок угла опережения зажигания при детонации для цилиндра 3 ( °),Отскок угла опережения зажигания при детонации для цилиндра 4 ( °),Отскок угла опережения зажигания при детонации для цилиндра 2 ( °),Базовый угол опережения зажигания ( °),Максимальная задержка УОЗ ( °),АЦП Бортовое напряжение (В),АЦП Датчик температуры охлаждающей жидкости (В),АЦП Датчик температуры воздуха во впускном коллекторе (В),АЦП Напряжение датчика абсолютного давления во впускном коллекторе (В),АЦП Датчик положения дроссельной заслонки 1 (В),АЦП Датчик положения дроссельной заслонки 2 (В),АЦП Датчик положения педали газа 1 (В),АЦП Датчик положения педали газа 2 (В),АЦП Датчик кислорода 1 (В),АЦП Сопротивление датчика кислорода 1 (Ом),АЦП Датчик кислорода 2 (В),АЦП Сопротивление датчика кислорода 2 (Ом),АЦП Датчик детонации (В),АЦП Напряжение средней точки вентиляторов охлаждения (В),DFM Сигнал с генератора (-),Сигнал LT генератора (-),Сигнал с датчика давления масла (-),Круиз-конторль/ограничитель скорости разрешен (-),Круиз-конторль/ограничитель скорости активен (-),Круиз-конторль/ограничитель скорости вход 1 (-),Круиз-конторль/ограничитель скорости вход 2 (-),температура генератора ( °C),обороты генератора ( об/мин)
10,6,51,12.40,27.75,0,0.0,-5.250,0.000,6.49,0.000,98.44,1.01,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,600.00,1015.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,441,12.40,27.75,0,0.0,-5.250,0.000,6.54,0.000,98.44,1.01,0.52,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,600.00,1015.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,822,12.40,27.75,0,0.0,-5.250,0.000,6.54,0.000,98.44,1.01,0.51,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,600.00,1015.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7,223,12.40,27.75,0,0.0,-5.250,0.000,6.54,0.000,98.44,1.01,0.52,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,600.00,1015.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7,622,12.40,27.75,0,0.0,-5.250,0.000,6.49,0.000,98.44,1.01,0.52,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,600.00,1015.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8,13,12.40,27.75,0,0.0,-5.250,0.000,6.54,0.000,98.44,1.01,0.52,-0.76,0.52,1.000,1.02,0.00,1.051,0.00,0.90,0.000,21.0,0.000,0.496,0.000,1240,7.00,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,600.00,1015.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,402,10.60,27.75,159,0.0,-5.250,0.000,7.30,0.000,98.44,1.01,0.51,-0.76,0.51,1.000,1.02,0.00,1.051,0.00,0.90,0.000,21.0,0.000,0.496,0.000,1240,7.01,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,600.00,1013.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8,859,11.00,27.75,252,0.0,-4.500,22.342,7.35,0.000,73.59,1.01,0.51,-0.76,0.51,1.000,1.02,0.00,1.051,0.00,0.90,3.298,21.0,0.000,0.496,0.000,1240,7.01,4.5,0.00,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,413.69,931.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9,241,12.10,27.75,1335,0.0,-3.750,7.590,7.35,0.000,39.45,1.05,0.52,-0.76,0.52,1.000,1.02,0.00,1.082,0.00,0.90,3.298,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,-0.62,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,1,216.06,516.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9,644,12.30,27.75,1405,0.0,-2.250,5.504,7.35,0.000,31.95,1.07,0.52,-0.76,0.52,1.000,1.02,0.00,1.061,0.00,0.90,3.298,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,-0.28,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,193.06,477.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10,44,12.60,27.75,1367,0.0,0.000,5.459,7.35,0.000,31.24,1.07,0.52,-0.76,0.52,1.000,1.02,0.00,1.057,0.00,0.90,3.354,20.3,0.000,0.496,0.000,1240,7.00,4.5,0.00,-0.24,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,189.94,479.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,447,13.00,27.75,1332,0.0,2.250,5.466,7.35,0.000,31.34,1.07,0.52,-0.76,0.52,1.000,1.02,0.00,1.050,0.00,0.90,3.354,20.3,0.000,0.496,0.000,1240,6.99,4.5,-0.02,-0.11,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,192.31,490.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,10,847,13.80,27.75,1306,0.0,0.750,5.626,7.30,0.000,31.92,1.07,0.51,-0.76,0.52,1.000,1.02,0.00,1.047,0.00,0.90,3.365,19.5,0.000,0.496,0.000,1240,6.99,4.5,-0.04,-0.08,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,195.19,500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,11,237,13.90,27.75,1297,0.0,-0.750,5.651,7.30,0.000,32.13,1.06,0.51,-0.76,0.52,1.000,1.02,0.00,1.046,0.00,0.90,3.365,19.5,0.000,0.496,0.000,1240,6.99,4.5,-0.09,-0.05,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,195.38,505.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13,734,14.00,27.75,1252,0.0,0.000,5.114,6.86,0.000,31.29,1.07,0.51,-0.76,0.52,1.000,1.02,0.00,1.046,0.00,0.90,3.212,19.5,0.000,0.496,0.000,1240,6.99,4.5,-0.25,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,190.44,505.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14,134,14.00,27.75,1241,0.0,2.250,5.069,6.86,0.000,31.24,1.07,0.52,-0.76,0.52,1.000,1.02,0.00,1.045,0.00,0.90,3.059,19.5,0.000,0.496,0.000,1240,6.99,4.5,-0.24,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,190.69,505.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14,570,14.00,27.75,1245,0.0,2.250,4.890,6.86,0.000,31.03,1.07,0.52,-0.76,0.52,1.000,1.02,0.00,1.045,0.00,0.90,3.059,19.5,0.000,0.496,0.000,1240,6.99,4.5,-0.25,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,188.94,503.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,14,986,14.00,27.75,1239,0.0,1.500,4.794,6.86,0.000,30.84,1.07,0.52,-0.76,0.52,1.000,1.02,0.00,1.045,0.00,0.90,0.267,-42.0,94.142,0.719,-63.000,0,0.31,128.3,0.78,-48.07,114.0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7898.5,99,0,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15,383,14.00,27.75,1229,0.0,2.250,4.813,6.79,0.000,30.94,1.07,0.51,-0.76,0.52,1.000,1.02,0.00,1.045,0.00,0.90,2.786,19.5,0.000,0.496,0.000,1240,6.99,4.5,-0.20,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,188.38,507.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15,790,14.00,27.75,1229,0.0,2.250,4.685,6.79,0.000,30.68,1.07,0.51,-0.76,0.52,1.000,1.02,0.00,1.044,0.00,0.90,2.640,19.5,0.000,0.496,0.000,1240,6.99,4.5,-0.17,0.00,27.8,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5156.0,0C,1,1,0,1,1,0,1,0,0,187.88,507.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
